Station or stop;Name;Coordinate Latitude;Coordinate Longitude;Number of train rides;Minutes of delay
80164848;BLANKENHEIM (KR SGH) BEZ. KREIS;51.503852;11.426972;14.44943820224719;7.966292134831461
80209338;BRITZ;52.873287;13.821068;17.41484716157205;2.2183406113537116
80234831;DORNREICHENBACH;51.351555;12.877914;26.127388535031848;19.273885350318473
80204990;MUENCHEN NORD RBF;48.196443;11.485116;39.7248322147651;368.0054530201342
80293837;BOEBLINGEN;48.68813;9.004899;20.525641025641026;222.05128205128204
80290999;WESTERSTETTEN;48.525442;9.94474;35.607638888888886;18.0625
80153411;EILENDORF;50.785569;6.15507;22.48122866894198;1.3924914675767919
80010892;HAMBURG DAMMTOR;53.560829;9.99076;13.60919540229885;0.0
80053595;KASSEL RBF;51.322636;9.458851;59.78389830508475;348.16207627118644
80060020;SCHOENA;50.877872;14.232613;22.629032258064516;28.822580645161292
80881995;FREIHALDEN UEST;48.387873;10.496838;24.91324200913242;1.9726027397260273
80319541;REGENSBURG HAFEN ABZW;49.015407;12.132876;20.62727272727273;16.772727272727273
80106948;GUNTERSBLUM;49.79188;8.351202;19.089285714285715;7.602678571428571
80194076;FRANKENSTEIN (PFALZ);49.438925;7.969813;31.902208201892744;0.0
80293951;GAEUFELDEN;48.559736;8.85005;13.088669950738916;0.0
80139030;BURG;52.3967;9.71275;28.516981132075472;11.70188679245283
80294439;HOEFINGEN;48.81604;9.026049;33.61943319838057;0.0
80224733;BERGRHEINFELD;49.99607;10.15741;13.705128205128204;0.0
80160788;EISENACH WEST;50.979572;10.30551;31.96928327645051;3.262798634812287
80194977;VALLENDAR;50.399587;7.61086;57.904761904761905;3.567765567765568
80131169;GEHRENRODE;51.928498;9.999798;25.201834862385322;3.63302752293578
80202341;MUENCHEN OST PBF;48.12869;11.606477;42.26517571884984;113.48242811501598
80637850;SIEGEN - STADT SIEGEN;50.8686;8.067436;13.362903225806452;1.5241935483870968
80130583;EINBECK;51.808377;9.923285;77.75;97.215625
80273565;SCHWERIN-GOERRIES NORD;53.610065;11.385381;15.427927927927929;0.0
80241034;GUETERGLUECK;51.995373;11.986359;28.42295597484277;22.28301886792453
80105098;DREIEICH-BUCHSCHLAG;50.021606;8.661352;29.4421768707483;5.653061224489796
80112508;GROSS ROHRHEIM;49.714225;8.476971;60.94952681388013;20.485804416403784
80093161;DUISBURG HBF;51.429669;6.776623;13.319078947368421;9.009868421052632
80201491;BERNAU A CHIEMSEE;47.816456;12.380933;23.23448275862069;0.0
80110742;NIEDERMITTLAU;50.178262;9.11063;47.386792452830186;1.4591194968553458
80251835;TRIER SUED;49.745258;6.636725;22.78716216216216;13.266891891891891
80231530;HOHENTHURM;51.5166;12.098005;12.661290322580646;1.7338709677419355
80240788;WOLMIRSTEDT;52.252137;11.635591;22.707509881422926;17.150197628458496
80718502;BIETIGHEIM-BISSINGEN ELLENTAL;48.955314;9.123791;50.86708860759494;0.0
80060053;KRIPPEN;50.913139;14.1619;22.64630225080386;4.382636655948553
80034991;WILHELMSHORST;52.335663;13.068547;31.107023411371237;0.0
80135749;BUECKEBURG;52.267735;9.04841;65.778125;32.2875
80151316;KALDENKIRCHEN;51.326622;6.203892;25.053846153846155;42.52307692307692
80104661;BINGEN (RHEIN) HBF;49.969019;7.884108;33.05;5.05
80062430;NIEDERWARTHA PUMPSPEICHERWERKE;51.092795;13.607079;29.542763157894736;0.0
80107995;FRANKFURT-LOUISA;50.084046;8.670198;26.783333333333335;25.02
80114074;BUTZBACH;50.431489;8.669585;37.53819444444444;12.583333333333334
80253518;BESSERINGEN;49.475669;6.60366;20.423076923076923;1.8356643356643356
