Station or stop,Name,Coordinate Latitude,Coordinate Longitude,Number of trains,Minutes of delay,geometry,route_ids
80203711,SOLNHOFEN,48.892484,10.994738,41.403785,45.283912,POINT (10.99474 48.89248),5501.0
80054072,MALSFELD,51.09751,9.5358,31.701587,6.511111,POINT (9.53580 51.09751),6340.0
80204685,MUENCHEN-ALLACH,48.192968,11.466871,21.537037,52.740741,POINT (11.46687 48.19297),5544.0
80105361,DORTMUND-NETTE,51.558513,7.400682,20.903846,2.464744,POINT (7.40068 51.55851),2132.0
80313726,AACHEN SCHANZ,50.769746,6.073718,22.141414,23.020202,POINT (6.07372 50.76975),2553.0
80137331,NIENBURG(WESER),52.647006,9.21885,69.282132,178.551724,POINT (9.21885 52.64701),1743.0
80253450,DILLINGEN (SAAR),49.353011,6.722678,45.1,614.751613,POINT (6.72268 49.35301),3230.0
80056457,HAUNETAL-NEUKIRCHEN,50.771223,9.6938,96.071651,28.476636,POINT (9.69380 50.77122),3600.0
80107318,NIDDERAU,50.231455,8.879988,23.307692,7.158371,POINT (8.87999 50.23145),3745.0
80225342,WUERZBURG HBF,49.801663,9.93615,88.50234,389.868955,POINT (9.93615 49.80166),5910.0
80140061,MANNHEIM-KAEFERTAL,49.50265,8.505018,51.620915,127.921569,POINT (8.50502 49.50265),4040.0
80221630,ERLANGEN,49.595924,11.001729,22.847599,36.74739,POINT (11.00173 49.59592),5919.0
80100313,DORTMUND-OBEREVING,51.543425,7.47983,18.747273,89.896364,POINT (7.47983 51.54342),2132.0
80217208,MUENSTER LECHTENBERG,51.91773,7.63857,22.227451,10.011765,POINT (7.63857 51.91773),2931.0
80112060,RUESSELSHEIM,49.992206,8.414032,15.972789,3.517007,POINT (8.41403 49.99221),3520.0
80201814,BRANNENBURG,47.741947,12.107689,20.247588,11.665595,POINT (12.10769 47.74195),5702.0
80195875,STEINEFRENZ,50.448628,7.93957,10.0,3.23,POINT (7.93957 50.44863),3731.0
80051821,IMMENHAUSEN,51.4273,9.464402,27.200803,4.261044,POINT (9.46440 51.42730),2550.0
80031286,GLASOWER DAMM,52.3495,13.41717,28.150298,13.8125,POINT (13.41717 52.34950),6151.0
80082560,KREUZTAL,50.955522,7.993773,34.82716,129.868313,POINT (7.99377 50.95552),2870.0
80226753,OCHSENFURT,49.663565,10.071647,64.8,89.321875,POINT (10.07165 49.66356),5321.0
80132530,PEINE,52.318816,10.243375,81.182812,75.86875,POINT (10.24338 52.31882),1730.0
80190843,GOEPPINGEN,48.700689,9.652707,36.555556,49.753472,POINT (9.65271 48.70069),4700.0
80227181,ROSSTAL WEGBRUECKE,49.394974,10.885481,27.67037,0.0,POINT (10.88548 49.39497),5902.0
80234815,WURZEN,51.36576,12.74034,26.623418,15.167722,POINT (12.74034 51.36576),6363.0
80055244,KASSEL NORDWEST,51.340892,9.472112,21.385301,16.407572,POINT (9.47211 51.34089),3926.0
80102848,HALDERN (RHEINL),51.772391,6.456059,32.03125,13.472222,POINT (6.45606 51.77239),2270.0
80194043,NEUSTADT(WEINSTR)HBF,49.350678,8.14358,32.719821,29.853949,POINT (8.14358 49.35068),3436.0
80155754,FRIEDRICH WILHELMSHUETTE,50.802093,7.159412,83.012945,21.022654,POINT (7.15941 50.80209),2690.0
80808543,BUECHEN STEINAUTAL,53.49016,10.590777,23.69103,1.850498,POINT (10.59078 53.49016),6100.0
80115428,ELZ (KR LIMBURG/LAHN) SUED,50.40958,8.033037,10.0,1.210526,POINT (8.03304 50.40958),3731.0
80011338,HAMBURG HOHE SCHAAR,53.494763,9.974986,16.48642,0.123457,POINT (9.97499 53.49476),0.0
80112342,NAUHEIM (B GROSS-GERAU),49.943557,8.450883,82.691589,15.221184,POINT (8.45088 49.94356),3530.0
80117200,BEBRA LAEMMERBERG ABZW,50.9532,9.798365,35.305031,11.216981,POINT (9.79837 50.95320),3801.0
80190272,RHENS,50.281478,7.62047,33.026667,3.973333,POINT (7.62047 50.28148),3507.0
80281212,NEUSTRELITZ HBF,53.359767,13.0749,14.184314,9.686275,POINT (13.07490 53.35977),6942.0
80139428,ESCHERDE,52.170696,9.844362,23.967742,5.797235,POINT (9.84436 52.17070),1770.0
80222141,NUERNBERG-LANGWASSER,49.410745,11.138542,78.015625,232.1875,POINT (11.13854 49.41074),5963.0
80144139,MUELLHEIM(BADEN),47.811158,7.60036,46.640625,38.36875,POINT (7.60036 47.81116),4314.0
80138297,SCHIERBROK,53.086108,8.57977,27.569811,0.0,POINT (8.57977 53.08611),1500.0
80096008,HAGEN-VORHALLE,51.379985,7.433679,33.953901,43.868794,POINT (7.43368 51.37998),2825.0
80225490,GEMUENDEN (MAIN),50.053077,9.694939,72.951334,103.695447,POINT (9.69494 50.05308),5200.0
80060087,KOENIGSTEIN (SAECHS SCHWEIZ) HP,50.919375,14.078045,22.810289,2.655949,POINT (14.07804 50.91938),6240.0
80117119,FRANKFURT MAINZER LANDSTRASSE,50.100408,8.628196,15.198238,3.810573,POINT (8.62820 50.10041),3683.0
80202317,MUENCHEN-FREIMANN,48.190214,11.6121,37.577049,82.84918,POINT (11.61210 48.19021),5560.0
80011866,HAMBURG-NEUGRABEN,53.474252,9.85319,13.679245,13.051887,POINT (9.85319 53.47425),1271.0
80340380,NEUNKIRCHEN (SAAR) BAUKNECHT,49.347538,7.229719,14.967078,0.674897,POINT (7.22972 49.34754),3282.0
80234757,GERICHSHAIN,51.35502,12.587001,26.734177,0.639241,POINT (12.58700 51.35502),6363.0
80149195,BIEDERITZ,52.154131,11.717879,47.439252,62.165109,POINT (11.71788 52.15413),6880.0
80150441,KREFELD-OPPUM,51.330801,6.611466,16.641593,1.681416,POINT (6.61147 51.33080),2610.0
80224980,HAGENBUECHACH,49.5382,10.7687,47.221122,9.260726,POINT (10.76870 49.53820),5910.0
80200519,DORFEN BAHNHOF,48.26797,12.161117,17.541485,37.842795,POINT (12.16112 48.26797),5600.0
80221580,ANSBACH STADT,49.253217,10.625018,25.140523,4.133987,POINT (10.62502 49.25322),5321.0
80203703,PAPPENHEIM,48.926907,10.964596,41.163522,0.0,POINT (10.96460 48.92691),5501.0
80062448,NIEDERWARTHA,51.094593,13.605973,30.203279,1.960656,POINT (13.60597 51.09459),6248.0
80290296,STUTTGART EBITZWEG,48.803847,9.231756,61.397394,0.013029,POINT (9.23176 48.80385),4713.0
80056374,FULDA,50.556113,9.684211,100.771904,58.732802,POINT (9.68421 50.55611),3600.0
80102665,OBERHAUSEN-STERKRADE,51.511829,6.844188,39.078767,57.164384,POINT (6.84419 51.51183),2270.0
80066993,WERDAU NORD,50.743624,12.371666,21.236,1.6,POINT (12.37167 50.74362),6362.0
80062422,COSSEBAUDE,51.085241,13.632436,30.346405,47.627451,POINT (13.63244 51.08524),6248.0
80211953,RINGEL,52.137622,7.87803,32.512281,7.736842,POINT (7.87803 52.13762),2200.0
80290163,ASPERG,48.9076,9.147548,73.915094,23.63522,POINT (9.14755 48.90760),4800.0
80138370,ELSFLETH,53.236095,8.464568,18.390756,12.319328,POINT (8.46457 53.23609),1503.0
80100222,OBERHAUSEN-OSTERFD S,51.49986,6.88512,51.181934,162.742366,POINT (6.88512 51.49986),2320.0
80040279,COTTBUS-WILLMERSDORF NORD,51.816159,14.384951,15.683636,0.0,POINT (14.38495 51.81616),6220.0
80081364,SCHWELM,51.29188,7.29049,22.346304,36.836576,POINT (7.29049 51.29188),2701.0
80111815,RUECKERSBACHER SCHLUCHT,50.020222,9.057186,28.432056,0.0,POINT (9.05719 50.02022),3660.0
80264176,PLATTLING,48.780798,12.865399,52.855799,190.053292,POINT (12.86540 48.78080),5830.0
80143081,WINDSCHLAEG,48.51612,7.965941,39.278146,20.294702,POINT (7.96594 48.51612),4263.0
80241133,PROEDEL,52.038135,11.913346,28.166667,3.981132,POINT (11.91335 52.03813),6410.0
80223719,NUERNBERG-EIBACH,49.4112,11.04945,35.451299,51.113636,POINT (11.04945 49.41120),5971.0
80113456,HERGERSHAUSEN,49.93737,8.915615,43.730104,0.044983,POINT (8.91562 49.93737),3557.0
80190041,ROLANDSECK,50.631462,7.20769,37.136943,4.681529,POINT (7.20769 50.63146),2630.0
80109041,FRANKFURT AM MAIN STADION,50.06815,8.633342,31.523411,28.369565,POINT (8.63334 50.06815),4010.0
80054049,KOERLE,51.171553,9.515074,31.899054,2.359621,POINT (9.51507 51.17155),6340.0
80240309,OCHTMERSLEBEN,52.145441,11.383012,48.30094,3.545455,POINT (11.38301 52.14544),6110.0
80224022,PLEINFELD,49.1081,10.978678,30.973597,28.280528,POINT (10.97868 49.10810),5330.0
80067132,SYRAU,50.545784,12.085853,15.347059,2.135294,POINT (12.08585 50.54578),6362.0
80101147,BOCHUM-LANGENDREER,51.4788,7.317961,35.797197,28.610882,POINT (7.31796 51.47880),2158.0
80136911,ISERNHAGEN,52.486035,9.803747,15.347032,1.817352,POINT (9.80375 52.48604),1710.0
80040063,ODERIN,52.075088,13.7287,20.877698,0.0,POINT (13.72870 52.07509),6142.0
80273227,DERGENTHIN,53.084503,11.750321,23.412969,8.276451,POINT (11.75032 53.08450),6100.0
80163212,GOESCHWITZ(SAALE),50.88511,11.5926,19.158537,34.079268,POINT (11.59260 50.88511),6307.0
80035287,NAUEN,52.614277,12.886813,17.65283,9.116981,POINT (12.88681 52.61428),6100.0
80113324,LADENBURG,49.473732,8.602613,56.62776,29.400631,POINT (8.60261 49.47373),3601.0
80151902,HERZOGENRATH,50.868576,6.093125,13.184466,9.325243,POINT (6.09312 50.86858),2550.0
80226704,WUERZBURG-HEIDINGSFELD OST,49.762775,9.953338,66.903125,68.2,POINT (9.95334 49.76277),5321.0
80040105,LUEBBEN HBF,51.940507,13.879356,20.770318,12.35689,POINT (13.87936 51.94051),6142.0
80153429,AACHEN-ROTHE ERDE,50.778159,6.126536,22.922559,12.205387,POINT (6.12654 50.77816),2600.0
80128991,DUESSELDORF HBF,51.221261,6.794032,15.6,23.9,POINT (6.79403 51.22126),2413.0
80130492,ROSDORF,51.50104,9.910317,74.659375,8.890625,POINT (9.91032 51.50104),3600.0
80231266,ZOEBERITZ,51.5063,12.034095,27.587549,1.042802,POINT (12.03410 51.50630),6403.0
80226035,PARTENSTEIN,50.03973,9.5248,38.986755,14.360927,POINT (9.52480 50.03973),5200.0
80190462,INGELHEIM,49.977194,8.05416,33.166667,17.98,POINT (8.05416 49.97719),3510.0
80297770,FREUDENSTEIN,49.038059,8.806269,15.675,3.315,POINT (8.80627 49.03806),4080.0
80143297,KOENDRINGEN,48.13829,7.8039,50.432602,11.943574,POINT (7.80390 48.13829),4000.0
80230086,MERSEBURG,51.355437,11.99305,49.519544,29.672638,POINT (11.99305 51.35544),6810.0
80012955,NEUMUENSTER,54.085276,9.983993,29.215531,103.985737,POINT (9.98399 54.08528),1220.0
80159509,DACHAU BAHNHOF,48.25468,11.444295,33.085443,14.351266,POINT (11.44430 48.25468),5544.0
80197681,ERFURT HBF,50.972508,11.038025,23.664234,39.576642,POINT (11.03802 50.97251),6340.0
80135160,VOELKSEN/ELDAGSEN,52.211875,9.626528,23.573034,0.0,POINT (9.62653 52.21187),1760.0
80204289,WOLNZACH BAHNHOF,48.608099,11.572405,33.561514,15.223975,POINT (11.57240 48.60810),5501.0
80389981,HUDE-LANGENBERG,53.102689,8.484588,27.566038,0.0,POINT (8.48459 53.10269),1500.0
80222984,PEGNITZ,49.759427,11.548431,12.077519,2.565891,POINT (11.54843 49.75943),5903.0
80234013,EILENBURG,51.45385,12.637152,18.390135,137.793722,POINT (12.63715 51.45385),6831.0
80295196,ENDERSBACH,48.81423,9.37128,11.213235,2.367647,POINT (9.37128 48.81423),4710.0
80297549,LAUDA,49.567064,9.710584,16.193717,26.518325,POINT (9.71058 49.56706),4920.0
80263103,SINZING (B REGENSBURG),48.997252,12.033546,13.558511,23.696809,POINT (12.03355 48.99725),5851.0
80296129,WALHEIM (WUERTT),49.010746,9.151999,27.429134,19.641732,POINT (9.15200 49.01075),4900.0
80132480,BEDDINGEN,52.219118,10.447673,18.225329,210.710526,POINT (10.44767 52.21912),1922.0
80062265,COSWIG(BZ DRESDEN),51.125418,13.578195,24.325383,126.279387,POINT (13.57819 51.12542),6363.0
80174805,NEUSS ALLERHEILIGEN,51.142673,6.755287,35.14527,5.361486,POINT (6.75529 51.14267),2610.0
80155507,KOELN-KALK NORD,50.940657,7.015438,71.633406,82.979031,POINT (7.01544 50.94066),2669.0
80295063,WILFERDINGEN-SINGEN,48.954163,8.5739,15.07772,15.590674,POINT (8.57390 48.95416),4200.0
80137067,WALLE (KR VERDEN),52.966869,9.255976,24.518828,37.627615,POINT (9.25598 52.96687),1960.0
80254235,SULZBACH (SAAR) ALTENWALD,49.312062,7.078341,30.081505,0.0,POINT (7.07834 49.31206),3511.0
80132571,HAEMELERWALD,52.355429,10.111789,80.071875,39.675,POINT (10.11179 52.35543),1730.0
80918730,KOBLENZ STADTMITTE,50.358074,7.590024,45.76875,0.0,POINT (7.59002 50.35807),3011.0
80055400,NEUHOF HARTBERG,50.454188,9.65695,26.495614,3.451754,POINT (9.65695 50.45419),1733.0
80245837,PRETZIER (ALTM),52.836436,11.264791,11.419355,0.0,POINT (11.26479 52.83644),6899.0
80143305,TENINGEN-MUNDINGEN,48.13155,7.824247,50.2875,0.0,POINT (7.82425 48.13155),4000.0
80032284,BIESDORFER KREUZ MITTE,52.514435,13.540975,20.665455,2.803636,POINT (13.54097 52.51443),6072.0
80135020,RETHEN(LEINE),52.286538,9.821284,74.535826,15.660436,POINT (9.82128 52.28654),1732.0
80137760,OLDENBUETTEL,53.285045,8.81153,34.675079,14.722397,POINT (8.81153 53.28504),1740.0
80142836,ACHERN,48.633993,8.065275,31.525723,6.609325,POINT (8.06527 48.63399),4280.0
80144170,SCHLIENGEN,47.761692,7.5698,34.603004,20.300429,POINT (7.56980 47.76169),4280.0
80137802,LOXSTEDT,53.475664,8.654056,34.611987,0.0,POINT (8.65406 53.47566),1740.0
80178285,WAIGOLSHAUSEN,49.96762,10.116571,17.059072,13.679325,POINT (10.11657 49.96762),5230.0
80103655,DEDINGHAUSEN,51.672333,8.3989,20.780591,0.0,POINT (8.39890 51.67233),1760.0
80056424,HUENFELD,50.673212,9.763459,95.943925,34.208723,POINT (9.76346 50.67321),3600.0
80132308,FRELLSTEDT,52.214144,10.914995,48.959248,26.689655,POINT (10.91499 52.21414),1900.0
80100180,GELSENKIRCHEN-BUER NORD,51.58588,7.04242,36.02439,26.571429,POINT (7.04242 51.58588),2252.0
